,DelDios_flow_cfs,Felicita_flow_cfs,KitCarson_flow_cfs,SanDieguito_flow_cfs,Moonsong_flow_cfs,GreenValley_flow_cfs,Cloverdale_flow_cfs,Guejito_flow_cfs,Sycamore_flow_cfs,ElKu_flow_cfs,ViaRancho_flow_cfs,Tazon_flow_cfs,Oceans11_flow_cfs,Lomica_flow_cfs
19.9,27.792,82.759,49.1,18.556,58.4,71.586,5.138,82.222,15.1,116.057,69.544,29.646,,
20.0,28.25,83.908,49.633,18.741,59.2,72.276,5.222,83.375,15.267,117.525,70.21,29.854,,
20.1,28.667,85.057,50.189,18.926,59.667,72.966,5.307,84.556,15.433,118.839,70.879,30.061,,
20.2,29.083,86.207,50.721,19.12,60.6,73.655,5.393,85.75,15.6,120.163,71.551,30.268,,
20.3,29.5,87.356,51.247,19.32,61.5,74.345,5.479,86.889,15.767,121.662,72.225,30.473,,
20.4,29.95,88.506,51.774,19.52,62.4,75.034,5.566,88.125,15.933,123.004,72.901,30.678,,
20.5,30.409,89.655,52.3,19.72,63.4,75.724,5.653,89.333,16.1,124.356,73.58,30.882,,
20.6,30.864,90.805,52.856,19.92,64.3,76.414,5.741,90.5,16.267,125.887,74.261,31.084,,
20.7,31.318,91.954,53.411,20.13,65.2,77.103,5.83,91.75,16.433,127.258,74.944,31.286,,
20.8,31.773,93.103,53.967,20.348,66.55,77.793,5.919,92.889,16.607,128.638,75.629,31.487,,
20.9,32.227,94.253,54.49,20.568,67.5,78.483,6.014,94.125,16.783,130.201,76.317,31.687,,
21.0,32.682,95.402,54.967,20.795,68.4,79.172,6.107,95.375,16.95,,77.007,31.886,,
21.1,33.136,96.552,55.476,21.024,69.4,79.862,6.198,96.625,17.125,,77.7,32.084,,
21.2,33.591,97.701,56.065,21.262,71.8,80.584,6.289,97.875,17.3,,78.394,32.281,,
21.3,34.045,98.851,56.653,21.5,73.5,81.314,6.381,99.125,17.467,,79.091,32.477,,
21.4,34.5,100.0,57.241,21.75,75.0,82.044,6.482,100.375,17.643,,79.79,32.672,,
21.5,34.955,101.036,57.829,22.0,76.3,82.774,6.575,101.625,17.821,,80.492,32.865,,
21.6,35.425,102.073,58.425,22.25,77.4,83.504,6.669,102.875,18.0,,81.195,33.057,,
21.7,35.896,103.109,59.05,22.5,78.6,84.234,6.772,104.25,18.167,,81.901,33.248,,
21.8,36.368,104.145,59.6,22.512,79.7,84.964,6.867,105.5,18.339,,82.609,33.438,,
21.9,36.84,105.181,60.1,22.524,80.8,85.693,6.962,106.75,18.518,,83.319,33.627,,
22.0,37.311,106.218,60.762,22.536,81.9,86.423,7.067,108.125,18.696,,84.031,33.814,,
22.1,37.783,107.254,61.488,22.548,83.0,87.153,7.163,109.375,18.875,,84.745,34.0,,
22.2,38.255,108.29,62.112,22.56,83.73,87.883,7.27,110.714,19.054,,85.461,34.184,,
22.3,38.726,109.326,62.738,22.572,84.1,88.613,7.377,112.0,19.232,,86.18,34.367,,
22.4,39.198,110.363,63.362,22.584,85.3,89.343,7.475,113.375,19.411,,86.9,34.549,,
22.5,39.67,111.399,63.987,22.596,86.5,90.078,7.583,114.714,19.596,,87.622,34.729,,
