,Level_in,Flow_gpm
788,1.509,168.731563909
789,1.51,168.985171196
790,1.512,169.492963952
791,1.514,170.001527476
792,1.519,171.276307301
793,1.52,171.531840986
794,1.521,171.787567195
795,1.522,172.043485907
796,1.523,172.2995971
797,1.524,172.555900754
798,1.525,172.812396848
799,1.526,173.069085359
800,1.529,173.840305184
801,1.531,174.35541343
802,1.532,174.613255998
803,1.533,174.871290832
804,1.534,175.129517912
805,1.537,175.905352409
806,1.538,176.164348255
807,1.539,176.423536237
808,1.54,176.682916334
809,1.541,176.942488524
810,1.542,177.202252785
811,1.543,177.462209095
812,1.544,177.722357432
813,1.546,178.243230098
814,1.548,178.764870608
815,1.55,179.287278782
816,1.551,179.548770687
817,1.552,179.810454442
818,1.553,180.072330024
819,1.554,180.334397411
820,1.555,180.596656579
821,1.556,180.859107507
822,1.557,181.121750172
823,1.558,181.384584552
824,1.559,181.647610624
825,1.56,181.910828365
826,1.561,182.174237752
827,1.562,182.437838764
828,1.563,182.701631376
829,1.565,183.229791314
830,1.568,184.023467658
831,1.569,184.288409398
832,1.575,185.882079289
833,1.576,186.14836063
834,1.577,186.41483325
835,1.579,186.948352234
836,1.581,187.482636053
837,1.582,187.750064718
838,1.585,188.55349745
839,1.586,188.821690528
840,1.588,189.358649794
841,1.589,189.627415934
842,1.591,190.165521112
843,1.595,191.244022386
844,1.598,192.054902145
845,1.599,192.325576946
846,1.6,192.596442482
847,1.604,193.681811489
848,1.606,194.22563977
849,1.607,194.49783977
850,1.608,194.770230311
851,1.609,195.042811369
852,1.61,195.315582918
853,1.612,195.861697395
854,1.613,196.135040273
855,1.615,196.682297188
856,1.616,196.956211175
857,1.619,197.779094958
858,1.62,198.053770077
859,1.622,198.603690956
860,1.623,198.878936665
861,1.624,199.154372522
862,1.625,199.4299985
863,1.628,200.258016917
864,1.629,200.534403134
865,1.631,201.087745533
866,1.633,201.64184772
867,1.634,201.91918367
868,1.637,202.752330649
869,1.639,203.308710987
870,1.641,203.865850304
871,1.643,204.423748396
872,1.644,204.702981919
873,1.645,204.98240506
874,1.646,205.262017792
875,1.647,205.54182009
876,1.648,205.821811929
877,1.649,206.101993283
878,1.654,207.505741875
879,1.656,208.068567014
880,1.659,208.91422447
881,1.66,209.196488785
882,1.662,209.761585002
883,1.663,210.044416852
884,1.664,210.327437828
885,1.665,210.610647904
886,1.666,210.894047054
887,1.668,211.461412471
888,1.669,211.745378685
889,1.67,212.029533868
890,1.672,212.598411035
891,1.673,212.883132966
892,1.674,213.168043761
893,1.676,213.738431834
894,1.677,214.023909059
895,1.678,214.309575042
896,1.682,215.454126014
897,1.683,215.740735384
898,1.684,216.027533351
899,1.686,216.601694971
900,1.687,216.88905857
901,1.688,217.176610659
902,1.689,217.464351211
903,1.69,217.7522802
904,1.693,218.617197515
905,1.696,219.483809788
906,1.697,219.773057076
907,1.698,220.062492584
908,1.7,220.641928153
909,1.703,221.512492477
910,1.704,221.803056735
911,1.705,222.093809023
912,1.706,222.384749313
913,1.707,222.675877578
914,1.708,222.967193789
915,1.71,223.550389946
916,1.711,223.842269835
917,1.713,224.426593098
918,1.714,224.719036417
919,1.718,225.890686963
920,1.72,226.47763821
921,1.721,226.771395231
922,1.722,227.065339812
923,1.724,227.653791545
924,1.726,228.242993186
925,1.728,228.832944512
926,1.73,229.4236453
927,1.734,230.607294361
928,1.735,230.903674689
929,1.736,231.200242185
930,1.737,231.496996822
931,1.742,232.983576124
932,1.744,233.579516838
933,1.745,233.87776758
934,1.746,234.176205207
935,1.749,235.072639117
936,1.751,235.671195629
937,1.752,235.97075397
938,1.753,236.270498997
939,1.754,236.570430681
940,1.755,236.870548993
941,1.756,237.170853905
942,1.757,237.471345388
943,1.758,237.772023413
944,1.759,238.072887951
945,1.76,238.373938974
946,1.762,238.976600358
947,1.763,239.278210662
948,1.768,240.789057138
949,1.769,241.091785222
950,1.77,241.394699501
951,1.771,241.697799947
952,1.773,242.304559219
953,1.774,242.608217988
954,1.775,242.912062807
955,1.776,243.216093646
956,1.778,243.824713268
957,1.779,244.129301993
958,1.78,244.434076621
959,1.783,245.349515631
960,1.784,245.655033579
961,1.785,245.960737284
962,1.787,246.572701844
963,1.788,246.878962641
964,1.79,247.492041122
965,1.791,247.798858746
966,1.793,248.413050615
967,1.794,248.7204248
968,1.797,249.643660002
969,1.798,249.951775853
970,1.801,250.877235339
971,1.804,251.804362099
