Station Name,model and version,XL2 S/N,,
LakeHodges_KITCARSON,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911373,,
Label,Meas Type,Slope,Offset,Equation
FlowVolume,2/7/2020,0:15:00,1669.6,G
PT Level,2/7/2020,0:16:00,3.58,G
PT Level,2/7/2020,0:17:00,3.58,G
PT Level,2/7/2020,0:18:00,3.58,G
PT Level,2/7/2020,0:19:00,3.58,G
PT Level,2/7/2020,0:20:00,3.58,G
Flow_cfs,2/7/2020,0:20:00,27.83,G
FlowVolume,2/7/2020,0:20:00,1669.6,G
PT Level,2/7/2020,0:21:00,3.58,G
PT Level,2/7/2020,0:22:00,3.58,G
PT Level,2/7/2020,0:23:00,3.58,G
PT Level,2/7/2020,0:24:00,3.58,G
PT Level,2/7/2020,0:25:00,3.58,G
Flow_cfs,2/7/2020,0:25:00,27.83,G
FlowVolume,2/7/2020,0:25:00,1669.6,G
PT Level,2/7/2020,0:26:00,3.62,G
PT Level,2/7/2020,0:27:00,3.58,G
PT Level,2/7/2020,0:28:00,3.58,G
PT Level,2/7/2020,0:29:00,3.58,G
PT Level,2/7/2020,0:30:00,3.58,G
Flow_cfs,2/7/2020,0:30:00,27.83,G
FlowVolume,2/7/2020,0:30:00,1669.6,G
PT Level,2/7/2020,0:31:00,3.58,G
PT Level,2/7/2020,0:32:00,3.58,G
PT Level,2/7/2020,0:33:00,3.58,G
PT Level,2/7/2020,0:34:00,3.58,G
PT Level,2/7/2020,0:35:00,3.58,G
Flow_cfs,2/7/2020,0:35:00,27.83,G
FlowVolume,2/7/2020,0:35:00,1669.6,G
PT Level,2/7/2020,0:36:00,3.58,G
PT Level,2/7/2020,0:37:00,3.58,G
PT Level,2/7/2020,0:38:00,3.58,G
PT Level,2/7/2020,0:39:00,3.58,G
PT Level,2/7/2020,0:40:00,3.58,G
Flow_cfs,2/7/2020,0:40:00,27.83,G
FlowVolume,2/7/2020,0:40:00,1669.6,G
PT Level,2/7/2020,0:41:00,3.58,G
PT Level,2/7/2020,0:42:00,3.58,G
PT Level,2/7/2020,0:43:00,3.58,G
PT Level,2/7/2020,0:44:00,3.62,G
PT Level,2/7/2020,0:45:00,3.58,G
Flow_cfs,2/7/2020,0:45:00,27.83,G
FlowVolume,2/7/2020,0:45:00,1669.6,G
PT Level,2/7/2020,0:46:00,3.58,G
PT Level,2/7/2020,0:47:00,3.58,G
PT Level,2/7/2020,0:48:00,3.58,G
PT Level,2/7/2020,0:49:00,3.58,G
PT Level,2/7/2020,0:50:00,3.58,G
Flow_cfs,2/7/2020,0:50:00,27.83,G
FlowVolume,2/7/2020,0:50:00,1669.6,G
PT Level,2/7/2020,0:51:00,3.58,G
PT Level,2/7/2020,0:52:00,3.58,G
PT Level,2/7/2020,0:53:00,3.58,G
PT Level,2/7/2020,0:54:00,3.58,G
PT Level,2/7/2020,0:55:00,3.58,G
Flow_cfs,2/7/2020,0:55:00,27.83,G
FlowVolume,2/7/2020,0:55:00,1669.6,G
PT Level,2/7/2020,0:56:00,3.58,G
PT Level,2/7/2020,0:57:00,3.58,G
PT Level,2/7/2020,0:58:00,3.58,G
PT Level,2/7/2020,0:59:00,3.58,G
PT Level,2/7/2020,1:00:00,3.58,G
Flow_cfs,2/7/2020,1:00:00,27.83,G
FlowVolume,2/7/2020,1:00:00,1669.6,G
PT Level,2/7/2020,1:01:00,3.58,G
PT Level,2/7/2020,1:02:00,3.58,G
PT Level,2/7/2020,1:03:00,3.58,G
PT Level,2/7/2020,1:04:00,3.58,G
PT Level,2/7/2020,1:05:00,3.58,G
Flow_cfs,2/7/2020,1:05:00,27.83,G
FlowVolume,2/7/2020,1:05:00,1669.6,G
PT Level,2/7/2020,1:06:00,3.58,G
PT Level,2/7/2020,1:07:00,3.58,G
PT Level,2/7/2020,1:08:00,3.58,G
