Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow_PT
MM/dd/yyyy hh:mm:ss,in,fps,gpm,in,gpm
05/10/2021 15:07:00,0.00,0.00,0.000,1.61,287.204
05/10/2021 15:08:00,0.00,0.00,0.000,1.57,274.563
05/10/2021 15:09:00,0.00,0.00,0.000,1.54,265.082
05/10/2021 15:10:00,0.00,0.00,0.000,1.51,255.601
05/10/2021 15:11:00,0.00,0.00,0.000,1.49,249.746
05/10/2021 15:12:00,0.00,0.00,0.000,1.48,247.051
05/10/2021 15:13:00,0.00,0.00,0.000,1.51,255.601
05/10/2021 15:14:00,0.00,0.00,0.000,1.50,252.441
05/10/2021 15:15:00,0.00,0.00,0.000,1.43,233.577
05/10/2021 15:16:00,0.00,0.00,0.000,1.37,217.408
05/10/2021 15:17:00,0.00,0.00,0.000,1.31,201.239
05/10/2021 15:18:00,0.00,0.00,0.000,1.23,179.680
05/10/2021 15:19:00,0.00,0.00,0.000,1.16,162.698
05/10/2021 15:20:00,0.00,0.00,0.000,1.11,151.576
05/10/2021 15:21:00,0.00,0.00,0.000,0.99,124.884
05/10/2021 15:22:00,0.00,0.00,0.000,0.86,97.915
05/10/2021 15:23:00,0.00,0.00,0.000,0.84,94.440
05/10/2021 15:24:00,0.00,0.00,0.000,0.72,73.591
05/10/2021 15:25:00,0.00,0.00,0.000,0.58,50.323
05/10/2021 15:26:00,0.00,0.00,0.000,0.49,39.437
05/10/2021 15:27:00,0.00,0.00,0.000,0.41,29.760
05/10/2021 15:28:00,0.00,0.00,0.000,0.36,23.712
05/10/2021 15:29:00,0.00,0.00,0.000,0.35,22.503
05/10/2021 15:30:00,0.00,0.00,0.000,0.33,20.084
05/10/2021 15:31:00,0.00,0.00,0.000,0.31,17.665
05/10/2021 15:32:00,0.00,0.00,0.000,0.31,17.665
05/10/2021 15:33:00,0.00,0.00,0.000,0.31,17.665
05/10/2021 15:34:00,0.00,0.00,0.000,0.28,15.358
05/10/2021 15:35:00,0.00,0.00,0.000,0.24,13.164
05/10/2021 15:36:00,0.00,0.00,0.000,0.19,10.422
05/10/2021 15:37:00,0.00,0.00,0.000,0.15,8.228
05/10/2021 15:38:00,0.00,0.00,0.000,0.12,6.582
05/10/2021 15:39:00,0.00,0.00,0.000,0.08,4.388
05/10/2021 15:40:00,0.00,0.00,0.000,0.03,1.646
05/10/2021 15:41:00,0.00,0.00,0.000,0.00,0.000
05/10/2021 15:42:00,0.00,0.00,0.000,-0.03,0.000
05/10/2021 15:43:00,0.00,0.00,0.000,-0.05,0.000
05/10/2021 15:44:00,0.00,0.00,0.000,-0.05,0.000
05/10/2021 15:45:00,0.00,0.00,0.000,-0.07,0.000
05/10/2021 15:46:00,0.00,0.00,0.000,-0.07,0.000
05/10/2021 15:47:00,0.00,0.00,0.000,-0.09,0.000
05/10/2021 15:48:00,0.00,0.00,0.000,-0.11,0.000
05/10/2021 15:49:00,0.00,0.00,0.000,-0.13,0.000
05/10/2021 15:50:00,0.00,0.00,0.000,-0.13,0.000
05/10/2021 15:51:00,0.00,0.00,0.000,-0.15,0.000
05/10/2021 15:52:00,0.00,0.00,0.000,-0.16,0.000
05/10/2021 15:53:00,0.00,0.00,0.000,-0.17,0.000
