Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,in,fps,gpm,in,gpm
02/17/2021 21:50:00,0.13,0.27,0.295,1.35,131.618
02/17/2021 21:55:00,0.13,0.28,0.308,1.38,137.868
02/17/2021 22:00:00,0.13,0.34,0.370,1.44,151.998
02/17/2021 22:05:00,0.13,0.27,0.302,1.42,147.288
02/17/2021 22:10:00,0.47,1.45,11.696,1.48,161.606
02/17/2021 22:15:00,0.52,0.49,4.497,1.44,151.998
02/17/2021 22:20:00,0.47,0.40,3.251,1.55,179.380
02/17/2021 22:25:00,0.47,0.36,2.872,1.34,129.535
02/17/2021 22:30:00,0.47,0.29,2.363,1.28,115.799
02/17/2021 22:35:00,0.13,0.31,0.347,1.37,135.785
02/17/2021 22:40:00,0.30,0.38,1.581,1.35,131.618
02/17/2021 22:45:00,0.13,0.39,0.427,1.34,129.535
02/17/2021 22:50:00,0.13,0.41,0.452,1.27,113.407
02/17/2021 22:55:00,0.13,0.28,0.309,1.41,144.933
02/17/2021 23:00:00,0.13,0.28,0.313,1.39,140.223
02/17/2021 23:05:00,0.13,0.28,0.314,1.37,135.785
02/17/2021 23:10:00,0.13,0.30,0.329,1.44,151.998
02/17/2021 23:15:00,0.13,0.31,0.337,1.31,122.976
02/17/2021 23:20:00,0.13,0.28,0.304,1.46,156.771
02/17/2021 23:25:00,0.13,0.40,0.436,1.36,133.701
02/17/2021 23:30:00,0.13,0.38,0.421,1.37,135.785
02/17/2021 23:35:00,0.13,0.33,0.359,1.40,142.578
02/17/2021 23:40:00,0.13,0.29,0.316,1.41,144.933
02/17/2021 23:45:00,0.52,1.06,9.720,1.56,182.081
02/17/2021 23:50:00,0.47,0.63,5.041,1.45,154.353
02/17/2021 23:55:00,0.34,0.33,1.660,1.36,133.701
02/18/2021 00:00:00,0.30,0.32,1.317,1.31,122.976
02/18/2021 00:05:00,0.43,0.40,2.801,1.40,142.578
02/18/2021 00:10:00,0.13,0.32,0.353,1.34,129.535
02/18/2021 00:15:00,0.13,0.30,0.326,1.11,83.377
